Timestamp,Millis,Temp_C,Lux,Distance_CM,System_Mode,Deviation_Active,Deviation_Fixed_Sec
2026-04-29 00:34:32,3205,20.75,43.00,9.21,1,1,
2026-04-29 00:34:32,4300,20.69,43.00,9.11,1,1,
2026-04-29 00:34:32,5396,20.69,43.00,9.10,1,1,
2026-04-29 00:34:32,6491,20.69,43.00,9.20,1,1,
2026-04-29 00:34:32,7586,20.75,43.00,9.11,1,1,
2026-04-29 00:34:33,8681,20.69,43.00,9.21,1,1,
2026-04-29 00:34:34,9777,20.75,43.00,9.11,1,1,
2026-04-29 00:34:35,10872,20.75,43.00,9.11,1,1,
2026-04-29 00:34:36,11967,20.69,43.00,9.21,1,1,
2026-04-29 00:34:37,13063,20.69,43.00,9.10,1,1,
2026-04-29 00:34:39,14158,20.69,43.00,9.10,1,1,
2026-04-29 00:34:40,15253,20.75,43.00,9.20,1,1,
2026-04-29 00:34:41,16349,20.69,43.00,9.11,1,1,
2026-04-29 00:34:42,17444,20.69,43.00,9.11,1,1,
2026-04-29 00:34:43,18539,20.75,43.00,9.21,1,1,
2026-04-29 00:34:44,19635,20.69,43.00,9.10,1,1,
2026-04-29 00:34:45,20730,20.75,43.00,9.21,1,1,
2026-04-29 00:34:46,21825,20.75,43.00,9.20,1,1,
2026-04-29 00:34:47,22921,20.75,43.00,9.11,1,1,
2026-04-29 00:34:48,24016,20.75,43.00,9.21,1,1,
2026-04-29 00:34:50,25111,20.75,43.00,9.21,1,1,
2026-04-29 00:34:51,26207,20.75,43.00,9.10,1,1,
2026-04-29 00:34:52,27301,20.75,43.00,9.21,1,1,
2026-04-29 00:34:53,28397,20.75,43.00,9.10,1,1,
2026-04-29 00:34:54,29493,20.75,43.00,9.10,1,1,
2026-04-29 00:34:55,30587,20.75,43.00,9.21,1,1,
2026-04-29 00:34:56,31683,20.75,43.00,9.11,1,1,
2026-04-29 00:34:57,32779,20.75,43.00,9.11,1,1,
2026-04-29 00:34:58,33873,20.75,43.00,9.20,1,1,
2026-04-29 00:34:59,34969,20.69,43.00,9.11,1,1,
2026-04-29 00:35:01,36065,20.69,43.00,8.84,1,1,
2026-04-29 00:35:02,37159,20.69,43.00,9.20,1,1,
2026-04-29 00:35:03,38255,20.75,43.00,9.11,1,1,
2026-04-29 00:35:04,39351,20.69,43.00,9.21,1,1,
2026-04-29 00:35:05,40445,20.69,43.00,8.94,1,1,
2026-04-29 00:35:06,41541,20.69,43.00,9.10,1,1,
2026-04-29 00:35:07,42636,20.69,43.00,9.20,1,1,
2026-04-29 00:35:08,43731,20.75,43.00,9.21,1,1,
2026-04-29 00:35:09,44827,20.69,43.00,8.84,1,1,
2026-04-29 00:35:10,45922,20.69,43.00,9.20,1,1,
2026-04-29 00:35:11,47017,20.75,43.00,9.11,1,1,
2026-04-29 00:35:13,48113,20.69,43.00,9.10,1,1,
2026-04-29 00:35:14,49208,20.69,43.00,9.21,1,1,
2026-04-29 00:35:15,50304,20.75,43.00,9.10,1,1,
2026-04-29 00:35:16,51399,20.75,43.00,9.10,1,1,
2026-04-29 00:35:17,52494,20.69,43.00,9.20,1,1,
2026-04-29 00:35:18,53590,20.69,43.00,9.10,1,1,
2026-04-29 00:35:19,54685,20.75,43.00,9.11,1,1,
2026-04-29 00:35:20,55780,20.75,43.00,9.21,1,1,
2026-04-29 00:35:22,57605,20.75,43.00,7.75,1,1,
2026-04-29 00:35:23,58700,20.75,43.00,9.20,1,1,
2026-04-29 00:35:24,59795,20.75,43.00,9.21,1,1,
2026-04-29 00:35:25,60891,20.69,43.00,9.10,1,1,
2026-04-29 00:35:27,61986,20.69,43.00,9.21,1,1,
2026-04-29 00:35:28,63081,20.69,43.00,9.20,1,1,
2026-04-29 00:35:29,64177,20.69,43.00,9.10,1,1,
2026-04-29 00:35:30,65272,20.69,43.00,9.21,1,1,
2026-04-29 00:35:31,66367,20.69,43.00,9.20,1,1,
2026-04-29 00:35:32,67463,20.69,43.00,9.10,1,1,
2026-04-29 00:35:33,68558,20.69,43.00,9.21,1,1,
2026-04-29 00:35:34,69653,20.69,43.00,9.21,1,1,
2026-04-29 00:35:35,70749,20.69,43.00,9.11,1,1,
