Timestamp,Millis,Temp_C,Lux,Distance_CM,System_Mode,Deviation_Active,Deviation_Fixed_Sec
2026-04-28 17:04:20,1208,23.25,8762.00,6.58,1,0,
2026-04-28 1:05:36,11966,23.12,43.00,6.60,1,1,
2026-04-29 9:35:17,52494,20.69,6013.00,9.20,1,1,
2026-04-28 17:01:34,2307,23.31,8658.00,6.98,1,0,
2026-04-28 1:09:12,13062,23.12,43.00,6.49,1,1,
2026-04-29 9:33:20,53590,20.69,6174.00,9.10,1,1,
2026-04-28 17:20:56,4503,23.25,8490.00,7.32,1,0,
2026-04-28 1:50:38,14156,23.12,43.00,6.58,1,1,
2026-04-29 9:35:19,54685,20.75,5744.00,9.11,1,1,
2026-04-28 18:04:45,5601,23.25,8681.00,6.67,1,0,
2026-04-28 1:05:39,15252,23.12,43.00,6.48,1,1,
2026-04-29 9:35:20,55780,20.75,6301.00,9.21,1,1,
2026-04-28 17:14:44,84362,23.31,8905.00,7.12,1,0,
2026-04-28 1:15:40,16347,23.12,43.00,9.20,1,1,
2026-04-29 9:17:22,57605,20.75,7523.00,7.75,1,1,
